Wavelength,,,,,
nm,,,,,
Type,DurSynth_av,DurSynth_av,DurSynth_av,DurSynth_av,DurSynth_av
AA,Phe,Cys,Try,Non,Glu
experim,1,2,3,4,5
300,-0.347722,-0.26088,0.0734217,0.242979,-0.218398
301,-0.355463,-0.330289,0.0615745,0.226596,-0.137354
302,-0.272959,-0.160269,0.122244,0.295132,-0.0333674
303,-0.285196,-0.128638,0.161507,0.274475,0.0657463
304,-0.197079,-0.106977,0.109568,0.329656,0.0481456
305,-0.167882,-0.033021,0.0736242,0.32984,0.120251
306,-0.241162,-0.0236724,-0.0421705,0.277222,0.00503862
307,-0.256558,-0.0117389,-0.0475206,0.257357,0.00702857
308,-0.160669,0.0922729,0.101964,0.32209,0.0396261
309,-0.143873,0.141252,0.155678,0.396262,0.00902168
310,-0.20273,0.126719,0.126434,0.436811,-0.102369
311,-0.240581,0.0864476,0.0704926,0.427784,-0.139437
312,-0.205684,0.031519,-0.0498644,0.386529,-0.257103
313,-0.244181,0.0454196,0.0605338,0.353225,-0.264618
314,-0.192413,0.0410844,0.114123,0.38514,-0.258457
315,-0.219128,9.31588E-4,0.0224702,0.428493,-0.248816
316,-0.20114,0.0118454,0.118516,0.490727,-0.207853
317,-0.217189,0.00977153,0.109633,0.526778,-0.239595
318,-0.182991,0.0589379,0.198601,0.563528,-0.164957
319,-0.161118,-0.0022169,0.140426,0.505347,-0.17197
320,-0.169114,0.0123528,0.163773,0.459919,-0.212511
321,-0.234142,0.0144826,0.195935,0.456572,-0.317456
322,-0.19743,0.0259071,0.182727,0.388916,-0.233836
323,-0.178162,-0.00318433,0.138062,0.357476,-0.278116
324,-0.245134,0.0925387,0.164857,0.344776,-0.229407
325,-0.271494,0.091669,0.123391,0.333726,-0.304164
326,-0.346929,0.1249,0.18047,0.378697,-0.291265
327,-0.359673,0.132962,0.0938439,0.329403,-0.323445
328,-0.387433,0.0994026,-0.066168,0.308553,-0.381627
329,-0.314113,0.150715,-0.099547,0.310393,-0.335089
330,-0.248997,0.206152,-0.0888108,0.40146,-0.259466
331,-0.241403,0.211957,-0.102758,0.467677,-0.254407
332,-0.215945,0.236649,-0.0117715,0.510448,-0.242055
333,-0.179139,0.209081,0.00929583,0.51473,-0.250135
334,-0.115283,0.222913,0.0349886,0.5589,-0.197153
335,0.0573143,0.332129,0.125837,0.581963,-0.0814748
336,0.0767092,0.247181,0.0985607,0.52902,-0.130138
337,0.125573,0.297311,0.20166,0.591292,-0.0850369
338,0.0824625,0.203869,0.163346,0.553029,-0.0856524
339,0.0177833,0.219026,0.115009,0.543504,-0.101927
340,0.00754416,0.240334,0.0426581,0.564111,-0.100564
341,0.0287551,0.293517,0.0342148,0.677226,-0.0763567
342,-0.0214318,0.302214,-0.0496883,0.671912,-0.0527772
343,-0.00100139,0.289821,-0.135602,0.662949,-0.12668
344,-0.058766,0.279943,-0.135546,0.595955,-0.181924
345,-0.119099,0.24953,-0.193387,0.595778,-0.222118
346,-0.103015,0.263059,-0.244253,0.586665,-0.185532
347,-0.10842,0.234552,-0.211547,0.542759,-0.168002
348,-0.092974,0.233914,-0.20115,0.575931,-0.170678
349,-0.0937844,0.21716,-0.0568253,0.590101,-0.0731389
350,-0.147039,0.224807,-0.0933237,0.597685,-0.0387417
351,-0.0582343,0.220047,-0.115135,0.562169,-0.0149163
352,-0.143545,0.185758,-0.0994778,0.559358,-0.0153591
353,-0.140237,0.151561,-0.0909114,0.600645,-0.00310518
354,-0.113464,0.172438,-0.0866615,0.616905,0.0258466
355,-0.130805,0.201536,-0.0818234,0.674522,0.00507484
356,-0.141437,0.234043,-0.0340219,0.703629,5.65857E-4
357,-0.136822,0.329574,-0.0399813,0.735579,0.0383225
358,-0.212481,0.326133,-0.167841,0.687833,-0.0133778
359,-0.186787,0.299901,-0.246133,0.668896,-0.0668102
360,-0.152309,0.343756,-0.185115,0.667027,-0.0804773
361,-0.113955,0.353798,-0.118146,0.653551,-0.117638
362,-0.0646059,0.405377,-0.161652,0.624844,-0.0905025
363,-0.0553771,0.431632,-0.158976,0.659552,-0.108016
364,-0.035359,0.455463,-0.148755,0.686723,-0.0684327
365,-0.0177623,0.467532,-0.11803,0.70156,0.0159161
366,-0.118601,0.402343,-0.143828,0.629931,-0.0966934
367,-0.166804,0.350291,-0.119175,0.606477,-0.17421
368,-0.0857498,0.401239,-0.115835,0.634519,-0.123337
369,-0.104333,0.406365,-0.0542211,0.612795,-0.114363
370,-0.154108,0.393614,-0.119723,0.575264,-0.196964
371,-0.293572,0.330563,-0.209115,0.577259,-0.277494
372,-0.277178,0.354158,-0.175717,0.592999,-0.224274
373,-0.243131,0.34821,-0.1745,0.615961,-0.302593
374,-0.234263,0.338599,-0.272447,0.569385,-0.377053
375,-0.187445,0.349269,-0.248772,0.605199,-0.336877
376,-0.0359352,0.446024,-0.225836,0.726407,-0.282728
377,-0.0830557,0.421542,-0.204776,0.705098,-0.335665
378,-0.103955,0.370636,-0.230224,0.67123,-0.358765
379,-0.181764,0.365209,-0.216646,0.701265,-0.324092
380,-0.0647989,0.412589,-0.130143,0.801176,-0.256909
381,-0.037311,0.423366,-0.0723172,0.792919,-0.235609
382,-0.0591685,0.403339,-0.0909891,0.806119,-0.227035
383,-0.128632,0.317061,-0.14243,0.727134,-0.221555
384,-0.079654,0.382882,-0.0739313,0.728883,-0.213103
385,-0.126325,0.35139,-0.196832,0.704461,-0.174641
386,-0.0950984,0.397369,-0.219757,0.680061,-0.11516
387,-0.116721,0.361157,-0.255879,0.628352,-0.166437
388,-0.100513,0.388259,-0.229415,0.688262,-0.126894
