Wavelength,,,,
nm,,,,
Type,ref,ref,ref,ref
AA,Non,Non,Non,Non
experim,BL1,BL2,BL3,BL4
300,-0.305127,,-0.0402959,-0.094289
301,-0.334079,,0.0378863,-0.0715236
302,-0.266161,,0.0435746,-0.0444116
303,-0.191166,,0.103645,-0.0740756
304,-0.161627,,0.0458636,-0.0639366
305,-0.0927184,,0.0562194,-0.0466152
306,-0.0249335,,-0.0138741,-0.0362341
307,0.0126898,,-0.0100631,9.50491E-4
308,-0.00158461,,-0.0290855,-0.00312523
309,0.0461664,,0.0152474,0.0258953
310,0.0451715,,-0.0203544,0.0285757
311,0.0712034,,-0.0377035,0.0351187
312,0.0417573,,-0.0357018,0.0589689
313,0.0977757,,-0.00720264,0.0653791
314,0.161712,,0.0277958,5.77078E-4
315,0.124907,,0.077289,0.0493628
316,0.11779,,0.104979,0.0391869
317,0.153331,,0.146407,0.0602345
318,0.121514,,0.142806,0.0578188
319,0.133277,,0.14811,0.0291933
320,0.0313372,,0.138098,0.0464126
321,0.075171,,0.113665,0.0398206
322,0.0617843,,0.0950507,0.0317351
323,0.0196044,,0.157805,0.0648314
324,0.0682333,,0.207111,0.0694874
325,0.0236417,,0.166387,0.0975922
326,-0.0309431,,0.207702,0.0946165
327,-0.0292809,,0.155834,0.123728
328,-0.105811,,0.120583,0.149127
329,-0.0499286,,0.102886,0.149594
330,-0.0302388,,0.170227,0.166409
331,-0.0395038,,0.167594,0.215038
332,0.0161175,,0.21159,0.203145
333,-0.0824197,,0.220414,0.201103
334,0.00507941,,0.243024,0.198729
335,0.0115988,,0.201452,0.196301
336,0.0336051,,0.182235,0.177499
337,0.0464955,,0.18677,0.203204
338,0.116062,,0.244607,0.161815
339,0.146065,,0.261793,0.177179
340,0.17623,,0.224779,0.173258
341,0.132309,,0.202227,0.170088
342,0.149941,,0.178593,0.152086
343,0.141552,,0.158916,0.176018
344,0.0818198,,0.144598,0.163217
345,0.138648,,0.18466,0.185333
346,0.189144,,0.276985,0.178791
347,0.15824,,0.244171,0.177317
348,0.172454,,0.222664,0.162774
349,0.066919,,0.209309,0.15077
350,0.095799,,0.16872,0.144405
351,0.0956783,,0.161271,0.180076
352,0.114816,,0.154597,0.184387
353,0.109252,,0.160633,0.18182
354,0.1385,,0.174549,0.151217
355,0.185626,,0.135999,0.145453
356,0.194267,,0.125381,0.115773
357,0.162624,,0.199812,0.108129
358,0.17052,,0.151951,0.102072
359,0.181336,,0.184372,0.10436
360,0.168103,,0.192546,0.0858012
361,0.148689,,0.214218,0.0581645
362,0.170189,,0.187542,0.0434161
363,0.145986,,0.176908,0.0518554
364,0.136626,,0.223572,0.0820687
365,0.107554,,0.255739,0.0955647
366,0.132888,,0.226766,0.0907708
367,0.149902,,0.179677,0.110585
