Wavelength,,,,
nm,,,,
Type,ref,ref,ref,ref
AA,α-M,α-M,α-M,α-M
experim,BL1,BL2,BL3,BL4
300,1.62096,2.64851,2.78652,2.58722
301,1.50669,2.57292,2.75584,2.55993
302,1.57293,2.51363,2.70113,2.48503
303,1.53825,2.43079,2.64665,2.45263
304,1.50065,2.38647,2.54958,2.39517
305,1.46906,2.33417,2.51401,2.32247
306,1.50196,2.24611,2.37977,2.24552
307,1.52661,2.15721,2.27467,2.1252
308,1.54672,2.10063,2.1594,2.07709
309,1.5151,2.01707,2.0842,2.00767
310,1.5073,1.95652,1.97495,1.93991
311,1.4697,1.95854,1.87943,1.90302
312,1.4461,1.96502,1.82868,1.92349
313,1.47436,1.88619,1.86342,1.91044
314,1.48168,1.92551,1.84528,1.87294
315,1.42558,1.86867,1.82561,1.87833
316,1.44108,1.89308,1.86193,1.91632
317,1.3506,1.94602,1.8789,1.9294
318,1.3787,2.01146,1.94065,1.99127
319,1.4287,2.02114,1.92689,2.02301
320,1.392,1.97935,1.94116,2.01426
321,1.38588,2.04839,1.96481,2.00895
322,1.36713,2.04439,1.99058,2.01462
323,1.44344,2.08204,1.97378,2.06003
324,1.42928,2.1475,2.01698,2.08639
325,1.47485,2.17229,2.06589,2.08673
326,1.45961,2.2087,2.09168,2.16336
327,1.53178,2.25398,2.14218,2.17149
328,1.51094,2.24996,2.16989,2.20273
329,1.5473,2.30617,2.20068,2.25821
330,1.5789,2.34964,2.24798,2.31775
331,1.64655,2.42771,2.33005,2.36321
332,1.63075,2.46483,2.40347,2.40743
333,1.69216,2.44256,2.47079,2.48896
334,1.76042,2.42689,2.4912,2.56215
335,1.81844,2.52342,2.57743,2.57717
336,1.85095,2.53883,2.58969,2.62696
337,1.84956,2.55536,2.59933,2.6437
338,1.87538,2.60287,2.68084,2.68828
339,1.94632,2.63082,2.68512,2.72406
340,1.98014,2.66607,2.6661,2.72408
341,1.96858,2.67765,2.74396,2.75955
342,1.96413,2.65739,2.73355,2.74441
343,1.89934,2.70773,2.78025,2.74005
344,1.85312,2.72816,2.77367,2.79499
345,1.86187,2.66663,2.80273,2.81223
346,1.87939,2.69022,2.8679,2.83808
347,1.91166,2.76175,2.88967,2.82924
348,1.86012,2.75515,2.92327,2.83126
349,1.82023,2.73195,2.9495,2.82035
350,1.79104,2.70175,2.95202,2.82842
351,1.7476,2.77551,2.90771,2.85397
352,1.74248,2.79947,2.94072,2.85879
353,1.76411,2.77195,3.02452,2.84405
354,1.77103,2.84772,3.04333,2.83499
355,1.74405,2.90467,3.02854,2.8516
356,1.68441,2.85958,3.0349,2.82587
357,1.66928,2.8349,3.02871,2.84232
358,1.65224,2.85212,2.99087,2.84001
359,1.66734,2.88037,3.06568,2.83654
360,1.67128,2.82203,3.05196,2.82692
361,1.63907,2.79382,3.01428,2.81126
362,1.66994,2.81882,2.95693,2.79958
363,1.65856,2.8174,2.91325,2.81457
364,1.68459,2.80598,2.87792,2.82177
365,1.72735,2.77145,2.87948,2.81026
366,1.6621,2.76951,2.8081,2.80504
367,1.68753,2.72975,2.78704,2.84658
368,1.72378,2.68168,2.73787,2.85144
369,1.72544,2.68314,2.69728,2.84398
370,1.72025,2.66459,2.67713,2.81015
371,1.72852,2.62258,2.64532,2.80301
372,1.62694,2.54821,2.62608,2.77516
373,1.5824,2.55369,2.57913,2.77182
374,1.51311,2.49855,2.54883,2.71997
375,1.54368,2.47707,2.49955,2.65237
376,1.52156,2.43583,2.46945,2.5651
377,1.46803,2.39276,2.42176,2.50833
378,1.41547,2.36942,2.4067,2.42234
379,1.33592,2.32088,2.32443,2.38587
380,1.32101,2.22484,2.25708,2.34098
381,1.23895,2.07893,2.17959,2.28186
382,1.24192,2.03375,2.12767,2.20811
383,1.229,1.92116,2.09421,2.11204
384,1.16508,1.83036,2.05768,2.04219
385,1.0869,1.79108,2.00668,2.00201
386,1.03345,1.71706,1.91305,1.94254
387,0.970983,1.65848,1.88237,1.87054
388,0.963928,1.60543,1.83088,1.82658
389,0.947945,1.56553,1.81865,1.77158
390,0.937168,1.56453,1.81674,1.73996
391,0.918337,1.49114,1.78552,1.68035
392,0.911101,1.46838,1.73362,1.68848
393,0.845763,1.38202,1.71265,1.66012
394,0.841595,1.34395,1.70198,1.62373
395,0.809536,1.28888,1.70612,1.61537
396,0.843582,1.25361,1.70634,1.60403
397,0.840369,1.26365,1.60549,1.60373
398,0.884319,1.27304,1.578,1.58771
399,0.846339,1.28349,1.59318,1.58804
400,0.802087,1.25356,1.57862,1.5673
401,0.829251,1.32663,1.56242,1.57211
402,0.844508,1.4376,1.59169,1.54957
403,0.837901,1.4254,1.58262,1.54045
404,0.864197,1.45825,1.57363,1.50732
405,0.83692,1.46324,1.52566,1.52007
406,0.859443,1.54053,1.56836,1.54175
407,0.80403,1.51247,1.62326,1.54642
408,0.795131,1.50467,1.60888,1.52638
409,0.841976,1.56632,1.57004,1.51517
410,0.809412,1.58622,1.52643,1.50563
411,0.776623,1.51798,1.5315,1.48742
412,0.8054,1.54529,1.50831,1.50131
413,0.781895,1.61901,1.46698,1.48745
414,0.832744,1.61715,1.53469,1.49885
415,0.792908,1.57317,1.51855,1.50883
416,0.761337,1.54657,1.46145,1.51459
417,0.74244,1.47826,1.4292,1.47485
418,0.716085,1.47486,1.42772,1.47823
419,0.708275,1.416,1.45384,1.44436
420,0.65275,1.37453,1.46017,1.44966
421,0.644532,1.32881,1.45494,1.46919
422,0.592524,1.29934,1.46268,1.46732
423,0.590739,1.32211,1.41207,1.44654
424,0.567292,1.32072,1.42451,1.43373
425,0.574967,1.28734,1.3661,1.38778
426,0.599085,1.31643,1.33013,1.38382
427,0.617668,1.3111,1.30749,1.36963
428,0.60253,1.3504,1.29599,1.35759
429,0.631449,1.31758,1.27134,1.30956
430,0.652321,1.35019,1.27782,1.25992
431,0.660029,1.34408,1.2391,1.21601
432,0.637974,1.26012,1.23233,1.21983
433,0.686065,1.31622,1.22168,1.16975
434,0.617805,1.25384,1.19826,1.16994
435,0.578813,1.19133,1.18957,1.13638
436,0.569601,1.12014,1.1847,1.10269
437,0.545762,1.07124,1.14192,1.07683
438,0.529756,1.0721,1.04663,1.0611
439,0.45061,0.994038,1.01163,1.05443
440,0.431638,0.949967,0.977497,1.02227
441,0.439908,0.921328,0.922692,0.986714
442,0.404562,0.833813,0.899652,0.938027
443,0.361822,0.860965,0.866033,0.915991
444,0.382996,0.83548,0.821838,0.869685
445,0.356355,0.841937,0.80462,0.874484
446,0.339341,0.843508,0.754714,0.852231
447,0.309109,0.807844,0.775954,0.824041
448,0.276585,0.774517,0.772594,0.773504
449,0.283884,0.723241,0.69333,0.776494
450,0.288548,0.722979,0.692489,0.728446
451,0.264464,0.71401,0.647427,0.720141
452,0.242722,0.689782,0.605367,0.696042
453,0.189794,0.628643,0.604923,0.677335
454,0.180821,0.61679,0.594436,0.681344
455,0.158022,0.555601,0.608547,0.655856
456,0.144651,0.57441,0.574478,0.673953
457,0.155381,0.564443,0.543882,0.698058
458,0.152072,0.554459,0.524381,0.691774
459,0.0798594,0.553934,0.516805,0.696172
460,0.0784936,0.56111,0.516445,0.707438
461,0.0847511,0.555816,0.53372,0.687573
462,0.133016,0.59264,0.512178,0.733117
463,0.0790866,0.578117,0.482635,0.71916
464,0.0663588,0.584651,0.47019,0.725561
465,0.118339,0.576942,0.460456,0.736879
466,0.126393,0.527003,0.473545,0.726389
467,0.126992,0.514296,0.48182,0.711578
