Wavelength,,,,,
nm,,,,,
Type,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc
AA,Ser,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1,no1_0.1a
300,-0.164062,-0.186819,-0.216035,,
301,-0.155044,-0.222914,-0.170746,,
302,-0.160252,-0.208808,-0.12356,,
303,-0.13951,-0.137761,-0.100544,,
304,-0.156318,-0.172265,-0.123351,,
305,-0.172501,-0.156748,-0.16419,,
306,-0.205402,-0.156144,-0.115695,,
307,-0.1889,-0.163065,-0.115821,,
308,-0.178807,-0.162391,-0.156763,,
309,-0.182471,-0.10688,-0.164986,,
310,-0.196418,-0.0711323,-0.211908,,
311,-0.159689,-0.106073,-0.203706,,
312,-0.128789,-0.0790902,-0.228628,,
313,-0.110175,-0.11478,-0.21285,,
314,-0.105468,-0.116801,-0.194191,,
315,-0.0556437,-0.108014,-0.21414,,
316,-0.0851615,-0.10923,-0.202985,,
317,-0.0665976,-0.079703,-0.190651,,
318,-0.022581,-0.0525882,-0.177786,,
319,-0.011934,-0.0770888,-0.161655,,
320,-0.0109169,-0.123551,-0.214454,,
321,-0.0222305,-0.14728,-0.157632,,
322,-0.0252538,-0.152901,-0.183033,,
323,-0.0538602,-0.13515,-0.181891,,
324,-0.0255327,-0.0817718,-0.161199,,
325,-0.0357655,-0.0953664,-0.139324,,
326,-0.00799086,-0.065879,-0.134524,,
327,-0.00401388,-0.0947666,-0.200969,,
328,0.00387255,-0.102621,-0.194822,,
329,0.00942891,-0.0940844,-0.159784,,
330,0.0214768,-0.0204781,-0.133406,,
331,-0.00480302,0.00819122,-0.126201,,
332,-0.00435364,-0.00314274,-0.128208,,
333,0.00151317,-0.0221443,-0.175736,,
334,-0.0118259,0.00123851,-0.178147,,
335,-0.0163667,-0.0260158,-0.185737,,
336,-0.0254441,-0.023082,-0.177836,,
337,-0.05033,-0.0651348,-0.149364,,
338,-0.0742162,-0.0524536,-0.176367,,
339,-0.0350769,-0.0638781,-0.176063,,
340,-0.0637417,-0.0724523,-0.178493,,
341,-0.0625971,-0.0338886,-0.151225,,
342,-0.0636342,-0.0430971,-0.131979,,
343,-0.0157324,-0.066143,-0.151975,,
344,1.06257E-4,-0.0893551,-0.15924,,
345,0.0121538,-0.0350446,-0.159898,,
346,0.0233194,0.00247151,-0.16684,,
347,0.00801864,0.0172022,-0.152132,,
348,-0.0174436,0.0479769,-0.147324,,
349,-0.0338938,0.02428,-0.157564,,
350,-0.0212413,0.0163891,-0.186051,,
351,0.00211542,0.00803693,-0.152262,,
352,0.00375408,0.0177006,-0.134328,,
353,-2.83286E-4,0.0589885,-0.135126,,
354,-0.0478064,0.0427024,-0.126661,,
355,-0.0628768,-0.00574032,-0.0901506,,
356,-0.0679456,-0.0168592,-0.0802863,,
357,-0.0616193,-0.0316391,-0.0746991,,
358,-0.0306615,-0.0067046,-0.0562575,,
359,-0.0240132,0.0137298,-0.0194975,,
360,-0.0495751,0.0443158,-0.096199,,
361,-0.0690926,0.0387018,-0.0724401,,
362,-0.0958134,-0.00431428,-0.0659296,,
363,-0.0728413,0.0141098,-0.0732619,,
364,-0.0435628,0.0290847,-0.0366775,,
365,-0.0263416,0.0300288,-0.0363443,,
366,-0.0341854,0.0416359,-0.0834757,,
367,-0.00775041,-0.0107935,-0.0583686,,
368,-5.4272E-4,-0.00993278,-0.0609374,,
369,0.0165398,-0.0769227,-0.0515529,,
370,0.0199309,-0.0767044,-0.0202534,,
371,0.050944,-0.0929875,-0.0858694,,
372,0.0368589,-0.0962196,-0.1544,,
373,0.0463286,-0.12551,-0.132563,,
374,0.0434504,-0.0769489,-0.153745,,
375,0.0523708,-0.078651,-0.178716,,
376,0.0455907,-0.0520765,-0.144087,,
377,0.0641042,-0.0458675,-0.147067,,
378,0.022124,0.00801873,-0.130477,,
379,0.0513837,0.0327633,-0.138668,,
380,0.0591829,0.0537953,-0.15665,,
381,0.0881118,0.0513162,-0.138843,,
382,0.0912956,0.0449993,-0.104122,,
383,0.0890578,0.0695465,-0.107877,,
384,0.096602,0.040412,-0.069096,,
385,0.0787809,0.0308883,-0.105125,,
386,0.0771235,0.0614321,-0.106176,,
387,0.0671962,0.0416185,-0.122143,,
388,0.0658235,0.0228522,-0.122337,,
389,0.0341846,0.00142024,-0.0951777,,
390,0.0224925,0.00443506,-0.0848322,,
391,-0.00576012,-0.0165337,-0.102136,,
392,0.00532092,-0.0503016,-0.0844299,,
393,-0.0134918,-0.0503912,-0.124469,,
394,-0.0335456,-0.0253662,-0.127759,,
395,-0.0206763,0.00432489,-0.137701,,
396,-0.0199744,0.0023793,-0.10268,,
397,-0.00817249,-0.00266296,-0.0776759,,
398,0.0203501,-0.0477761,-0.0366026,,
399,0.0022927,-0.0379039,-0.0298042,,
400,-2.02437E-4,-0.0288439,-0.0656809,,
401,-0.00946534,-0.00920492,-0.0344354,,
402,-0.00742968,0.0372572,-0.00706616,,
403,-0.00913368,0.0143571,0.0201394,,
404,-0.0227425,-0.0128093,0.00897056,,
405,-0.0209965,-0.0650227,-0.0335507,,
406,-0.0214233,-0.0974765,-0.0457884,,
407,-0.0424601,-0.0516463,-0.0774373,,
408,-0.0357303,-0.044377,-0.140903,,
409,-0.00968086,0.00682798,-0.14178,,
410,-0.00728241,-0.0360209,-0.146099,,
411,-0.0171146,-0.0384478,-0.172405,,
412,0.00526428,-0.0690339,-0.17811,,
413,-0.0100366,-0.0504457,-0.170163,,
414,0.0243813,0.0124372,-0.150704,,
415,0.0204632,0.0275428,-0.17178,,
416,0.0253086,0.0238632,-0.226986,,
417,0.0344332,-0.00299213,-0.215726,,
