Wavelength,,,,
nm,,,,
Type,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc
AA,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1
300,-0.257446,0.0437264,-0.448474,
301,-0.256313,0.00682867,-0.403956,
302,-0.214697,-0.00124276,-0.373979,
303,-0.203693,0.0385487,-0.287934,
304,-0.196362,0.0501673,-0.262014,
305,-0.207852,0.0591663,-0.255776,
306,-0.203356,0.0282734,-0.157407,
307,-0.189473,-0.0312018,-0.127068,
308,-0.189496,-0.115628,-0.0265283,
309,-0.171839,-0.0767148,-0.0109298,
310,-0.183977,-0.0284952,0.0836382,
311,-0.201354,-0.0206203,0.0564916,
312,-0.130273,-0.0324568,0.0127198,
313,-0.160241,-0.0570643,0.0102727,
314,-0.184497,-0.0760946,0.0587891,
315,-0.174748,-0.0771737,-0.0194046,
316,-0.178943,-0.0511237,-0.016621,
317,-0.18159,-0.0230555,-0.0217786,
318,-0.141678,-0.0351334,-0.0510795,
319,-0.175283,-0.0306095,-0.0381233,
320,-0.151298,-0.0625413,-0.0672533,
321,-0.165279,-0.0822667,-0.0425565,
322,-0.188402,-0.0652071,-0.0375992,
323,-0.183343,-0.0457818,-0.0379115,
324,-0.164843,-0.0143019,-0.0299456,
325,-0.182967,-0.00611878,0.0122412,
326,-0.164601,0.00418993,0.0217986,
327,-0.185652,-0.0339824,-0.00354657,
328,-0.176123,-0.0140604,-0.0049696,
329,-0.153318,-0.0313552,0.00475879,
330,-0.150569,0.0170174,-0.0211648,
331,-0.147169,0.0415393,-0.00982481,
332,-0.11658,0.0428205,-0.0173009,
333,-0.0703115,0.0702729,-0.0665646,
334,-0.054653,0.0948235,-0.043286,
335,-0.0865016,0.0772064,-0.0534013,
336,-0.0698362,0.0930792,-0.0519552,
337,-0.0760546,0.113651,-0.0567885,
338,-0.101702,0.142733,-0.0759205,
339,-0.105102,0.146926,-0.0400789,
340,-0.140217,0.141387,-0.035072,
341,-0.132006,0.147394,-0.0647227,
342,-0.168513,0.0965978,-0.04923,
343,-0.18363,0.0663064,-0.100793,
344,-0.159242,0.0424852,-0.112003,
345,-0.135985,0.0520236,-0.0590357,
346,-0.144783,0.0719016,-0.0546253,
347,-0.121637,0.0252215,-0.0319824,
348,-0.132551,-0.0204995,-0.0476325,
349,-0.13084,-0.0579187,-0.11243,
350,-0.128804,-0.0542231,-0.077916,
