N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
DP,0.1,1.0,1.0,0.5,0.1,1.0,0.5,0.5,0.5,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.5,1.0,0.1,0.1,0.5
Speed,50,50,50,50,50,20,20,100,50,50,50,50,50,100,50,50,20,100,20,50,20,100
BW,8,8,5,5,5,5,5,8,5,8,8,8,8,8,8,8,8,8,8,8,5,8
DIT,8,8,8,8,8,16,16,4,4,8,8,8,8,2,8,8,16,4,16,8,16,4
Acc,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,1,1,3,1,1,1,4
300,-0.275506,-0.382237,-0.638326,-0.351422,-0.00241297,-0.135146,-0.161722,-0.0178227,0.366509,-0.275506,-0.240286,-0.0226301,-0.089205,-0.0201455,-0.228043,-0.266105,0.19871,0.322382,-0.0377702,-0.306361,0.15261,0.0102276
301,-0.209044,-0.373864,-0.491375,-0.370841,-0.101266,-0.155242,-0.198623,0.00453359,0.458032,-0.209044,-0.147912,0.0119836,-0.150813,-0.0871243,-0.217034,-0.330953,0.266584,0.286982,-0.0173066,-0.348576,0.123386,0.0323444
302,-0.202515,-0.267551,-0.543093,-0.432761,-0.19779,-0.0966621,-0.233062,0.0336108,0.366705,-0.202515,-0.22366,-0.0128692,-0.203052,-0.149677,-0.203389,-0.283439,0.222557,0.287158,0.147063,-0.412929,0.115412,0.0590662
303,-0.25055,-0.286905,-0.53887,-0.48319,-0.291774,-0.132248,-0.175618,0.0455201,0.378463,-0.25055,-0.168295,-0.0212701,-0.221726,-0.130518,-0.132619,-0.186053,0.316575,0.357657,0.319903,-0.319788,0.21653,0.138284
304,-0.19508,-0.173548,-0.469979,-0.509866,-0.272829,-0.122202,-0.124698,0.0791171,0.443345,-0.19508,-0.135931,-0.0407624,-0.234836,-0.212664,-0.0533668,-0.429673,0.459421,0.412261,0.391122,-0.296187,0.137499,0.120539
305,-0.200031,-0.195772,-0.506591,-0.51099,-0.278902,-0.145824,-0.145242,0.150016,0.430585,-0.200031,-0.0143484,-0.116729,-0.23797,-0.0886685,-0.0411741,-0.283871,0.266462,0.495386,0.437633,-0.355895,0.114305,0.129846
306,-0.239386,-0.148909,-0.490664,-0.450745,-0.340438,-0.17976,-0.0726983,0.160382,0.401082,-0.239386,-0.0163577,-0.129756,-0.184817,-0.133058,-0.0438113,-0.167129,0.317511,0.480995,0.349188,-0.416152,0.114314,0.221971
307,-0.334949,-0.162226,-0.356053,-0.45429,-0.230261,-0.162092,-0.0735741,0.158423,0.597239,-0.334949,-0.0548809,-0.162326,-0.292615,-0.142778,-0.00144034,-0.0753462,0.514768,0.44047,0.308972,-0.347555,0.182962,0.270477
308,-0.253976,-0.212582,-0.369432,-0.36098,-0.259041,-0.161522,-0.123131,0.140781,0.563011,-0.253976,-0.0921118,-0.155035,-0.268932,-0.0658449,-0.0473262,-0.126206,0.533138,0.361903,0.437833,-0.371711,0.126023,0.160201
309,-0.199471,-0.257067,-0.349551,-0.315824,-0.291868,-0.204141,-0.0769126,0.162348,0.564499,-0.199471,-0.131611,-0.0998614,-0.237261,0.0625874,-0.0751995,-0.0392913,0.731163,0.295073,0.687773,-0.41859,0.230542,0.0722331
310,-0.189606,-0.272087,-0.414685,-0.222029,-0.139474,-0.206891,-0.0758445,0.189859,0.678826,-0.189606,-0.0973888,-0.0799937,-0.255649,-0.025141,-0.00149431,-0.00203575,0.733216,0.403085,0.508591,-0.39077,0.19521,0.10971
311,-0.198163,-0.274589,-0.412225,-0.171633,-0.112443,-0.127274,-0.12538,0.195683,0.63743,-0.198163,-0.122622,-0.0558272,-0.281444,-0.0708827,0.0963111,0.155721,0.630626,0.468268,0.418213,-0.291928,0.183649,0.142672
312,-0.233735,-0.294386,-0.265449,-0.0487332,-0.0797657,-0.0798314,-0.0875217,0.167404,0.650251,-0.233735,-0.0797618,-0.0150273,-0.196409,0.140699,0.00719374,0.208005,0.663841,0.321337,0.307742,-0.288224,0.0916302,0.0908095
313,-0.252074,-0.337954,-0.210911,-0.0335658,-0.0543367,-0.113972,-0.0860266,0.131109,0.582761,-0.252074,-0.0189825,-0.0492919,-0.182236,0.225768,0.0689806,0.429828,0.564677,0.227606,0.234146,-0.249303,0.233587,0.0729545
314,-0.253791,-0.254421,-0.131599,-0.0410994,-0.130059,-0.0445088,-0.079232,0.129657,0.509466,-0.253791,-0.122874,-0.0637839,-0.187485,0.177324,-0.021267,0.601463,0.541985,0.120716,0.15954,-0.248235,0.254673,0.125822
315,-0.206081,-0.221459,-0.144992,-0.173876,-0.0164757,0.0969258,-0.126105,0.0805202,0.249791,-0.206081,-0.110344,-0.0382454,-0.203108,0.277101,-0.0852251,0.410417,0.593128,0.0162644,0.215231,-0.286845,0.336157,0.00270076
316,-0.262619,-0.250681,-0.0597062,-0.234607,-0.00146173,0.0803259,-0.0705899,0.0928787,0.383188,-0.262619,0.00838061,0.00440472,-0.10965,0.176161,-0.125289,0.497531,0.426186,0.0601018,0.150741,-0.299862,0.270633,-0.00756962
317,-0.260823,-0.136487,-0.0728797,-0.183072,0.0749611,0.077445,-0.0271467,0.054829,0.546724,-0.260823,-0.074521,-0.0192478,-0.0858861,0.102142,-0.0373232,0.626536,0.39856,0.243578,0.25446,-0.222977,0.244222,0.0910759
318,-0.289521,-0.0531623,-0.151746,-0.28392,0.124293,0.123704,-0.0106459,0.0376952,0.529008,-0.289521,-0.0605974,0.0491123,-0.0979338,0.15148,0.0790534,0.707381,0.469195,0.164661,0.436479,-0.180234,0.342596,0.0916077
319,-0.240041,-0.0585576,-0.19596,-0.322711,0.161234,0.152756,-0.00256997,-0.0108962,0.440397,-0.240041,-0.0862951,0.0118369,-0.142577,0.0502235,0.0422168,0.645981,0.540324,0.310486,0.419801,-0.00397459,0.335396,0.184575
